gemeinde;last_scouted_at;run_source;queries_run;results_found
Horgen;2026-03-06T10:23:00Z;Horgen;6;34
Winterthur;2026-06-16T19:51:44Z;Winterthur;6;40
Uster;2026-06-16T19:51:47Z;Uster;6;47
Wetzikon;2026-06-16T19:51:51Z;Wetzikon;6;34
Dübendorf;2026-06-16T19:51:54Z;Dübendorf;6;40
Bülach;2026-06-16T19:51:57Z;Bülach;6;42
Frauenfeld;2026-06-17T13:25:40Z;Frauenfeld;6;36
Kreuzlingen;2026-06-17T13:25:43Z;Kreuzlingen;6;43
Amriswil;2026-06-17T13:25:46Z;Amriswil;6;28
Weinfelden;2026-06-17T13:25:50Z;Weinfelden;6;20
Arbon;2026-06-17T13:25:53Z;Arbon;6;24
Romanshorn;2026-06-17T13:25:56Z;Romanshorn;6;15
Aadorf;2026-06-17T13:25:59Z;Aadorf;6;23
